date,harian
2-Mar,2
3-Mar,0
4-Mar,0
5-Mar,0
6-Mar,2
7-Mar,0
8-Mar,2
9-Mar,13
10-Mar,8
12-Mar,0
13-Mar,35
14-Mar,27
15-Mar,21
16-Mar,17
17-Mar,38
18-Mar,55
19-Mar,82
20-Mar,60
21-Mar,81
22-Mar,64
23-Mar,65
24-Mar,106
25-Mar,105
26-Mar,103
27-Mar,153
28-Mar,109
29-Mar,130
30-Mar,129
31-Mar,114
1-Apr,149
2-Apr,113
3-Apr,196
4-Apr,106
5-Apr,181
6-Apr,218
7-Apr,247
8-Apr,218
9-Apr,337
10-Apr,219
11-Apr,330
12-Apr,399
13-Apr,316
14-Apr,282
15-Apr,297
16-Apr,380
17-Apr,407
18-Apr,325
19-Apr,327
20-Apr,185
21-Apr,375
22-Apr,283
23-Apr,357
24-Apr,436
25-Apr,396
26-Apr,275
27-Apr,214
28-Apr,415
29-Apr,260
30-Apr,347
1-May,433
2-May,292
3-May,349
4-May,395
5-May,484
6-May,367
7-May,338
8-May,336
9-May,533
10-May,387
11-May,233
12-May,484
13-May,689
14-May,568
15-May,490
16-May,529
17-May,489
18-May,496
19-May,486
20-May,693
21-May,973
22-May,634
23-May,949
24-May,526
25-May,479
26-May,415
27-May,686
28-May,687
29-May,678
30-May,557
31-May,700
1-Jun,467
2-Jun,609
3-Jun,684
4-Jun,585
5-Jun,703
6-Jun,993
7-Jun,672
8-Jun,847
9-Jun,"1,043"
10-Jun,"1,240"
11-Jun,979
12-Jun,"1,111"
13-Jun,"1,014"
14-Jun,857
15-Jun,"1,017"
16-Jun,"1,106"
17-Jun,"1,031"
18-Jun,"1,331"
19-Jun,"1,041"
20-Jun,"1,226"
21-Jun,862
22-Jun,954
23-Jun,"1,051"
24-Jun,"1,113"
25-Jun,"1,178"
26-Jun,"1,240"
27-Jun,"1,385"
28-Jun,"1,198"
29-Jun,"1,082"
30-Jun,"1,293"
1-Jul,"1,385"
2-Jul,"1,624"
3-Jul,"1,301"
4-Jul,"1,447"
5-Jul,"1,607"
6-Jul,"1,209"
7-Jul,"1,268"
8-Jul,"1,853"
9-Jul,"2,657"
10-Jul,"1,611"
11-Jul,"1,671"
12-Jul,"1,681"
13-Jul,"1,282"
14-Jul,"1,591"
15-Jul,"1,522"
16-Jul,"1,574"
17-Jul,"1,462"
18-Jul,"1,752"
19-Jul,"1,639"
20-Jul,"1,693"
21-Jul,"1,655"
22-Jul,"1,882"
23-Jul,"1,906"
24-Jul,"1,761"
25-Jul,"1,868"
26-Jul,"1,492"
27-Jul,"1,525"
28-Jul,"1,748"
29-Jul,"2,381"
30-Jul,"1,904"
31-Jul,"2,040"
1-Aug,"1,560"
2-Aug,"1,519"
3-Aug,"1,679"
4-Aug,"1,922"
5-Aug,"1,815"
6-Aug,"1,882"
7-Aug,"2,473"
8-Aug,"2,277"
9-Aug,"1,893"
10-Aug,"1,687"
11-Aug,"1,693"
12-Aug,"1,942"
13-Aug,"2,098"
14-Aug,"2,307"
15-Aug,"2,345"
16-Aug,"2,081"
17-Aug,"1,821"
18-Aug,"1,673"
19-Aug,"1,902"
20-Aug,"2,266"
21-Aug,"2,197"
22-Aug,"2,090"
23-Aug,"2,037"
24-Aug,"1,877"
25-Aug,"2,447"
26-Aug,"2,306"
27-Aug,"2,719"
28-Aug,"3,003"
29-Aug,"3,308"
30-Aug,"2,858"
31-Aug,"2,743"
1-Sep,"2,775"
2-Sep,"3,075"
3-Sep,"3,622"
4-Sep,"3,269"
5-Sep,"3,128"
6-Sep,"3,444"
7-Sep,"2,880"
8-Sep,"3,046"
9-Sep,"3,307"
10-Sep,"3,861"
11-Sep,"3,737"
12-Sep,"3,806"
13-Sep,"3,636"
14-Sep,"3,141"
15-Sep,"3,507"
16-Sep,"3,963"
17-Sep,"3,635"
18-Sep,"3,891"
19-Sep,"4,168"
20-Sep,"3,989"
21-Sep,"4,176"
22-Sep,"4,071"
23-Sep,"4,465"
24-Sep,"4,634"
25-Sep,"4,823"
26-Sep,"4,494"
27-Sep,"3,874"
28-Sep,"3,509"
29-Sep,"4,002"
30-Sep,"4,284"
1-Oct,"4,174"
2-Oct,"4,317"
3-Oct,"4,007"
4-Oct,"3,992"
5-Oct,"3,622"
6-Oct,"4,056"
7-Oct,"4,538"
8-Oct,"4,850"
9-Oct,"4,094"
10-Oct,"4,294"
11-Oct,"4,497"
12-Oct,"3,267"
13-Oct,"3,906"
14-Oct,"4,127"
15-Oct,"4,411"
16-Oct,"4,301"
17-Oct,"4,301"
18-Oct,"4,105"
19-Oct,"3,373"
20-Oct,"3,602"
21-Oct,"4,267"
22-Oct,"4,432"
23-Oct,"4,369"
24-Oct,"4,070"
25-Oct,"3,732"
26-Oct,"3,222"
27-Oct,"3,520"
28-Oct,"4,029"
29-Oct,"3,565"
30-Oct,"2,897"
31-Oct,"3,143"
1-Nov,"2,696"
2-Nov,"2,618"
3-Nov,"2,973"
4-Nov,"3,356"
5-Nov,"4,065"
6-Nov,"3,778"
7-Nov,"4,262"
8-Nov,"3,880"
9-Nov,"2,853"
10-Nov,"3,779"
11-Nov,"3,770"
12-Nov,"4,173"
13-Nov,"5,444"
14-Nov,"5,272"
15-Nov,"4,106"
16-Nov,"3,535"
17-Nov,"3,807"
18-Nov,"4,265"
19-Nov,"4,798"
20-Nov,"4,792"
21-Nov,"4,998"
22-Nov,"4,360"
23-Nov,"4,442"
24-Nov,"4,192"
25-Nov,"5,534"
26-Nov,"4,917"
27-Nov,"5,828"
28-Nov,"5,418"
29-Nov,"6,267"
30-Nov,"4,617"
1-Dec,"5,092"
2-Dec,"5,533"
3-Dec,"8,369"
4-Dec,"5,803"
5-Dec,"6,027"
6-Dec,"6,089"
7-Dec,"5,754"
8-Dec,"5,292"
9-Dec,"6,058"
10-Dec,"6,033"
11-Dec,"6,310"
12-Dec,"6,388"
13-Dec,"6,189"
14-Dec,"5,489"
15-Dec,"6,120"
16-Dec,"6,725"
17-Dec,"7,354"
18-Dec,"6,689"
19-Dec,"7,751"
20-Dec,"6,982"
21-Dec,"6,848"
22-Dec,"6,347"
23-Dec,"7,514"
24-Dec,"7,199"
25-Dec,"7,259"
26-Dec,"6,740"
27-Dec,"6,528"
28-Dec,"5,854"
29-Dec,"7,903"
30-Dec,"8,002"
31-Dec,"8,074"
1-Jan,"8,072"
2-Jan,"7,203"
3-Jan,"6,877"
4-Jan,"6,753"
5-Jan,"7,445"
6-Jan,"8,854"
7-Jan,"9,321"
8-Jan,"10,617"
9-Jan,"10,046"
10-Jan,"9,640"
11-Jan,"8,692"
12-Jan,"10,047"
13-Jan,"11,278"
14-Jan,"11,557"
15-Jan,"12,818"
16-Jan,"14,224"
17-Jan,"11,287"
18-Jan,"9,086"
19-Jan,"10,365"
20-Jan,"12,568"
21-Jan,"11,703"
22-Jan,"13,632"
23-Jan,"12,191"
24-Jan,"11,788"
25-Jan,"9,994"
26-Jan,"13,094"
27-Jan,"11,948"
28-Jan,"13,695"
29-Jan,"13,802"
30-Jan,"14,518"
31-Jan,"12,001"
1-Feb,"10,994"
2-Feb,"10,379"
3-Feb,"11,984"
4-Feb,"11,434"
5-Feb,"11,749"
6-Feb,"12,156"
7-Feb,"10,827"
8-Feb,"8,242"
9-Feb,"8,700"
10-Feb,"8,776"
11-Feb,"8,435"
12-Feb,"9,869"
13-Feb,"8,844"
14-Feb,"6,765"
15-Feb,"6,462"
16-Feb,"10,029"
17-Feb,"9,687"
18-Feb,"9,039"
19-Feb,"10,614"
20-Feb,"8,054"
21-Feb,"7,300"
22-Feb,"10,180"
23-Feb,"9,775"
24-Feb,"7,533"
25-Feb,"8,493"
26-Feb,"8,232"
27-Feb,"6,208"
28-Feb,"5,560"
1-Mar,"6,680"
2-Mar,"5,712"
3-Mar,"6,808"
4-Mar,"7,264"
5-Mar,"6,971"
6-Mar,"5,767"
7-Mar,"5,826"
8-Mar,"6,894"
9-Mar,"6,389"
10-Mar,"5,633"
11-Mar,"5,144"
12-Mar,"6,412"
13-Mar,"4,607"
14-Mar,"4,714"
15-Mar,"5,589"
16-Mar,"5,414"
17-Mar,"6,825"
18-Mar,"6,570"
19-Mar,"6,279"
20-Mar,"5,656"
21-Mar,"4,396"
22-Mar,"5,744"
23-Mar,"5,297"
24-Mar,"5,227"
25-Mar,"6,107"
26-Mar,"4,982"
27-Mar,"4,461"
28-Mar,"4,083"
29-Mar,"5,008"
30-Mar,"4,682"
31-Mar,"5,937"
1-Apr,"6,142"
2-Apr,"5,325"
3-Apr,"4,345"
4-Apr,"6,731"
5-Apr,"3,712"
6-Apr,"4,549"
7-Apr,"4,860"
8-Apr,"5,504"
9-Apr,"5,265"
10-Apr,"4,723"
11-Apr,"4,127"
12-Apr,"4,829"
13-Apr,"5,702"
14-Apr,"5,656"
15-Apr,"6,177"
16-Apr,"5,363"
17-Apr,"5,041"
18-Apr,"4,585"
19-Apr,"4,952"
20-Apr,"5,549"
21-Apr,"5,720"
22-Apr,"6,243"
23-Apr,"5,436"
24-Apr,"4,544"
25-Apr,"4,402"
26-Apr,"5,944"
27-Apr,"4,656"
28-Apr,"5,241"
29-Apr,"5,833"
30-Apr,"5,500"
1-May,"4,512"
2-May,"4,394"
3-May,"4,730"
4-May,"4,369"
5-May,"5,285"
6-May,"5,647"
7-May,"6,327"
8-May,"6,130"
9-May,"3,922"
10-May,"4,891"
11-May,"5,021"
12-May,"4,608"
13-May,"3,448"
14-May,"2,633"
15-May,"2,385"
16-May,"3,080"
17-May,"4,295"
18-May,"4,185"
19-May,"4,871"
20-May,"5,797"
21-May,"5,746"
22-May,"5,296"
23-May,"5,280"
24-May,"5,907"
25-May,"5,060"
26-May,"5,034"
27-May,"6,278"
28-May,"5,862"
29-May,"6,565"
30-May,"6,115"
31-May,"5,662"
1-Jun,"4,824"
2-Jun,"5,246"
3-Jun,"5,353"
4-Jun,"6,486"
5-Jun,"6,594"
6-Jun,"5,832"
7-Jun,"6,993"
8-Jun,"6,294"
9-Jun,"7,725"
10-Jun,"8,892"
11-Jun,"8,083"
12-Jun,"7,465"
13-Jun,"9,868"
14-Jun,"8,189"
15-Jun,"8,161"
16-Jun,"9,944"
17-Jun,"12,624"
18-Jun,"12,990"
19-Jun,"12,906"
20-Jun,"13,737"
21-Jun,"14,536"
22-Jun,"13,668"
23-Jun,"15,308"
24-Jun,"20,574"
25-Jun,"18,872"
26-Jun,"21,095"
27-Jun,"21,342"
28-Jun,"20,694"
29-Jun,"20,467"
30-Jun,"21,807"
1-Jul,"24,836"
2-Jul,"25,830"
3-Jul,"27,913"
4-Jul,"27,233"
5-Jul,"29,745"
6-Jul,"31,189"
7-Jul,"34,379"
8-Jul,"38,391"
9-Jul,"38,124"
10-Jul,"35,094"
11-Jul,"36,197"
12-Jul,"40,427"
13-Jul,"47,899"
14-Jul,"54,517"
15-Jul,"56,757"
16-Jul,"54,000"
17-Jul,"51,952"
18-Jul,"44,721"
19-Jul,"34,257"
20-Jul,"38,325"
21-Jul,"33,772"
22-Jul,"49,509"
23-Jul,"49,071"
24-Jul,"45,416"
25-Jul,"38,679"
26-Jul,"28,228"
27-Jul,"45,203"
28-Jul,"47,791"
29-Jul,"43,479"
30-Jul,"41,168"
31-Jul,"37,284"
1-Aug,"30,738"
2-Aug,"22,404"
3-Aug,"33,900"
4-Aug,"35,867"
5-Aug,"35,764"
6-Aug,"39,532"
7-Aug,"31,753"
8-Aug,"26,415"
